Descripción;ene-23;feb-23;mar-23;Total
HONDA;;;;
        HONDA WAVE 110 S;4.419;3.634;3.870;11.923
        HONDA XR150L;1.284;1.106;1.468;3.858
        HONDA GLH 150;1.082;1.125;1.505;3.712
        HONDA XR250 TORNADO;1.094;761;526;2.381
        HONDA CB125F TWISTER;366;286;690;1.342
        HONDA XR190L;384;347;524;1.255
        HONDA WAVE 110 S CD;484;359;362;1.205
        HONDA CB 250 TWISTER;432;245;208;885
        HONDA XR 250 TORNADO;;2;303;305
        HONDA NEW ELITE 125;30;38;79;147
        HONDA CB250 TWISTER;32;27;24;83
        HONDA PCX 150;29;16;18;63
        HONDA CG150 TITAN;17;17;14;48
        HONDA PCX 150 DLX;11;7;6;24
        HONDA XRE300;7;2;5;14
        HONDA CRF 230F;;5;4;9
        HONDA XRE 300 RALLY;3;1;5;9
        HONDA CB 190 R;;2;1;3
        HONDA CRF 1100D2L AFRICA TWIN ADVENTURE SPORTS;1;;1;2
        HONDA CRF 250R;;;2;2
        HONDA TRX420FM;1;;1;2
        HONDA ATC 110C;;;1;1
        HONDA BIZ 125 FI;;;1;1
        HONDA C100 BIZ;;;1;1
        HONDA CB 500 F;;;1;1
        HONDA CBR 1000 SP;1;;;1
        HONDA CF50 CHALY;1;;;1
        HONDA CG125 TITAN KS;;1;;1
        HONDA CM200TB;;;1;1
        HONDA CR80;;1;;1
        HONDA CRF 450R;;;1;1
        HONDA EVE;;1;;1
        HONDA NT110MT;;;1;1
        HONDA PCX 125;;1;;1
        HONDA TACC;1;;;1
        HONDA TRX 90;;1;;1
        HONDA TRX520FM1;;;1;1
        HONDA TRX-90P;;1;;1
        HONDA XR100;;1;;1
        HONDA XR100R;1;;;1
        HONDA XR250R;1;;;1
        HONDA XR80;1;;;1
Subtotal: HONDA;9.682;7.987;9.624;27.293
;;;;
MOTOMEL;;;;
        MOTOMEL B110;3.161;2.863;3.787;9.811
        MOTOMEL S2 150;1.140;943;1.239;3.322
        MOTOMEL CX 150;614;632;828;2.074
        MOTOMEL C110 DLX;301;287;440;1.028
        MOTOMEL S110;101;90;127;318
        MOTOMEL B110 TUNNING;91;72;69;232
        MOTOMEL SKUA 125 X-TREME;77;54;66;197
        MOTOMEL SIRIUS 190;46;52;52;150
        MOTOMEL STRATO EURO 150;52;38;53;143
        MOTOMEL SKUA 250;34;47;57;138
        MOTOMEL STRATO ALPINO 150;25;27;35;87
        MOTOMEL XMM;27;17;31;75
        MOTOMEL SKUA 250 ADVENTURE;23;15;29;67
        MOTOMEL SIRIUS 150;8;15;8;31
        MOTOMEL SIRIUS 250;6;5;4;15
        MOTOMEL SKUA 200;1;4;4;9
        MOTOMEL SR 200;2;;3;5
        MOTOMEL CITY CARGO 110;;1;1;2
        MOTOMEL S3 150;;1;;1
Subtotal: MOTOMEL;5.709;5.163;6.833;17.705
;;;;
CORVEN;;;;
        CORVEN ENERGY 110 BY CORVEN;2.872;3.010;5.053;10.935
        CORVEN TRIAX 150;503;488;649;1.640
        CORVEN MIRAGE 110;504;439;642;1.585
        CORVEN HUNTER 150;197;197;293;687
        CORVEN TRIAX 250;89;97;120;306
        CORVEN DX 70;51;73;127;251
        CORVEN EXPERT 150;51;43;72;166
        CORVEN TRIAX 200;50;45;45;140
        CORVEN EXPERT 80;34;24;42;100
        CORVEN TRIAX 250 TOURING;2;5;13;20
        CORVEN ENERGY 125;;;5;5
Subtotal: CORVEN;4.353;4.421;7.061;15.835
;;;;
ZANELLA;;;;
        ZANELLA ZB 110;1.559;1.233;1.688;4.480
        ZANELLA ZB 110 RT;1.105;855;1.122;3.082
        ZANELLA RX 150 Z7;277;323;498;1.098
        ZANELLA DUE CLASSIC;343;264;368;975
        ZANELLA ZR 150 ZT;249;271;333;853
        ZANELLA ZB 125 R;147;133;224;504
        ZANELLA STYLER 150 EXCLUSIVE;119;99;143;361
        ZANELLA ZR 150;69;91;100;260
        ZANELLA HOT 90;71;78;107;256
        ZANELLA SAPUCAI 150 F;70;69;104;243
        ZANELLA PATAGONIAN EAGLE 150;61;46;59;166
        ZANELLA CECCATO R 150;58;43;63;164
        ZANELLA STYLER 150 RT;30;22;34;86
        ZANELLA RZ 650 MT;42;20;23;85
        ZANELLA CRUISER X 150;21;32;25;78
        ZANELLA Z MAX 200;24;22;28;74
        ZANELLA RZ 400;12;13;12;37
        ZANELLA ZR 250;5;11;17;33
        ZANELLA CRUISER X1;12;3;11;26
        ZANELLA ZR 200;5;6;14;25
        ZANELLA CECCATO X 700;7;6;5;18
        ZANELLA RZ 300;6;7;5;18
        ZANELLA RZ 650;8;1;7;16
        ZANELLA RX150;3;5;7;15
        ZANELLA CECCATO 250 X;3;1;5;9
        ZANELLA PATAGONIAN EAGLE 250;2;2;5;9
        ZANELLA RX 150 G3;3;1;2;6
        ZANELLA GFORCE250;;2;3;5
        ZANELLA DUE CLASSIC 110;3;;;3
        ZANELLA OTROS;1;;2;3
        ZANELLA ZB 110 D;;1;2;3
        ZANELLA GT2I;1;1;;2
        ZANELLA STYLER 150 RS;;1;1;2
        ZANELLA 125 RUTERA;;1;;1
        ZANELLA 50 V3 KS;1;;;1
        ZANELLA CECCATO V 250 I;;;1;1
        ZANELLA CICLOMOTOR 50V3 KS;1;;;1
